Nested Sampling Global Log-Evidence           :   -0.607435638359997725E+02  +/-    0.135411453118580438E+00
Nested Importance Sampling Global Log-Evidence:   -0.619156697625797534E+02  +/-    0.700951219861227437E+00

Dim No.       Mean        Sigma
   1    0.292484839193663390E+03    0.315242131227865130E+02
   2    0.928565595572540481E+01    0.490990276788445090E+00
   3   -0.268268187109841683E+00    0.177463133597525295E-01
   4    0.618669658300382750E+02    0.193932647581422674E+00
   5    0.502999166228753514E+00    0.289379221875758208E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.300743703352011323E+03
   2    0.940430100344368114E+01
   3   -0.250189501004816961E+00
   4    0.618833199475083120E+02
   5    0.180651997363344308E+00

MAP Parameters
Dim No.        Parameter
   1    0.300743703352011323E+03
   2    0.940430100344368114E+01
   3   -0.250189501004816961E+00
   4    0.618833199475083120E+02
   5    0.180651997363344308E+00
